City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Cabedelo,BR,-6.9811,-34.8339,1668101451.0,10.78,1011.0,67.0,86.67,70.0
Mataura,NZ,-46.1927,168.8643,1668101453.0,2.55,1022.0,93.0,46.58,1.0
phan rang,,,,,,,,,
nizhneyansk,,,,,,,,,
Pontianak,ID,-0.0333,109.3333,1668101456.0,1.14,1010.0,100.0,76.98,75.0
taolanaro,,,,,,,,,
Kapaa,US,22.0752,-159.319,1668101327.0,6.91,1020.0,80.0,70.7,20.0
Hermanus,ZA,-34.4187,19.2345,1668101460.0,18.3,1014.0,75.0,62.8,1.0
Pevek,RU,69.7008,170.3133,1668101461.0,2.93,1007.0,97.0,-4.0,100.0
Hokitika,NZ,-42.7167,170.9667,1668101462.0,4.47,1021.0,64.0,52.57,18.0
Avarua,CK,-21.2078,-159.775,1668101282.0,10.36,1018.0,78.0,73.45,40.0
Souillac,MU,-20.5167,57.5167,1668101465.0,3.44,1018.0,78.0,73.78,40.0
Itoman,JP,26.1247,127.6694,1668101467.0,9.22,1018.0,94.0,73.42,100.0
Vila,PT,42.0304,-8.1588,1668101468.0,2.53,1023.0,84.0,53.71,27.0
Zhaoqing,CN,23.0512,112.4597,1668101470.0,0.81,1015.0,81.0,76.82,0.0
Gonder,ET,12.6,37.4667,1668101471.0,5.5,1016.0,80.0,58.46,79.0
Mar del Plata,AR,-38.0023,-57.5575,1668101406.0,23.0,1015.0,78.0,67.75,0.0
Ushuaia,AR,-54.8,-68.3,1668101474.0,9.22,1010.0,40.0,49.66,0.0
Castro,BR,-24.7911,-50.0119,1668101475.0,4.23,1012.0,35.0,78.78,68.0
tubruq,,,,,,,,,
Hasaki,JP,35.7333,140.8333,1668101477.0,17.18,1023.0,52.0,48.6,4.0
Lima,PE,-12.0432,-77.0282,1668101401.0,16.11,1017.0,60.0,66.45,20.0
Sur,OM,22.5667,59.5289,1668101480.0,3.06,1018.0,73.0,78.46,4.0
belushya guba,,,,,,,,,
Imbituba,BR,-28.24,-48.6703,1668101483.0,6.06,1015.0,66.0,70.84,1.0
Mopipi,BW,-21.1833,24.8833,1668101485.0,17.63,1007.0,33.0,86.92,16.0
Constitución,CL,-35.3333,-72.4167,1668101486.0,5.86,1017.0,67.0,60.03,100.0
Punta Arenas,CL,-53.15,-70.9167,1668101261.0,18.41,1011.0,43.0,53.42,0.0
Jalu,LY,29.0331,21.5482,1668101489.0,8.3,1021.0,39.0,66.45,0.0
Vao,NC,-22.6667,167.4833,1668101490.0,12.08,1009.0,75.0,72.45,11.0
Nanortalik,GL,60.1432,-45.2371,1668101492.0,15.64,990.0,75.0,29.25,100.0
Alice Springs,AU,-23.7,133.8833,1668101415.0,11.5,1009.0,50.0,76.55,83.0
Hithadhoo,MV,-0.6,73.0833,1668101494.0,13.49,1012.0,73.0,81.97,76.0
San Patricio,US,28.017,-97.5169,1668101496.0,7.43,1012.0,51.0,81.61,7.0
Rikitea,PF,-23.1203,-134.9692,1668101497.0,12.62,1019.0,87.0,72.14,97.0
illoqqortoormiut,,,,,,,,,
Bredasdorp,ZA,-34.5322,20.0403,1668101500.0,21.47,1015.0,76.0,60.93,16.0
Ribeira Grande,PT,38.5167,-28.7,1668101501.0,16.11,1006.0,72.0,61.2,40.0
Gejiu,CN,23.306,103.1635,1668101503.0,1.43,1017.0,92.0,46.42,0.0
Duki,PK,30.1541,68.5728,1668101505.0,6.13,1021.0,39.0,63.45,12.0
mys shmidta,,,,,,,,,
Kashgar,CN,39.4547,75.9797,1668101507.0,6.71,1028.0,56.0,42.01,1.0
Tuatapere,NZ,-46.1333,167.6833,1668101509.0,3.4,1022.0,78.0,50.13,0.0
Coruripe,BR,-10.1256,-36.1756,1668101468.0,8.57,1012.0,68.0,82.06,20.0
Parnarama,BR,-5.6817,-43.0933,1668101511.0,3.96,1008.0,29.0,97.2,72.0
Talnakh,RU,69.4865,88.3972,1668101513.0,10.89,1012.0,96.0,6.21,100.0
Rumonge,BI,-3.9736,29.4386,1668101514.0,5.26,1012.0,85.0,72.01,100.0
Basco,PH,20.4487,121.9702,1668101515.0,14.9,1013.0,85.0,80.11,4.0
Thinadhoo,MV,0.5333,72.9333,1668101517.0,15.26,1012.0,72.0,82.22,96.0
Sangar,RU,63.9242,127.4739,1668101518.0,13.4,1015.0,96.0,-4.0,100.0
Carnduff,CA,49.1667,-101.8009,1668101413.0,13.53,1028.0,91.0,11.37,100.0
vaitupu,,,,,,,,,
Maningrida,AU,-12.0667,134.2667,1668101522.0,4.21,1008.0,78.0,81.18,51.0
Kidal,ML,18.4411,1.4078,1668101247.0,5.14,1010.0,9.0,82.54,0.0
Busselton,AU,-33.65,115.3333,1668101525.0,15.37,1014.0,80.0,53.47,67.0
barentsburg,,,,,,,,,
Ostrovnoy,RU,68.0531,39.5131,1668101527.0,6.2,1008.0,88.0,34.47,90.0
Brandon,US,27.9378,-82.2859,1668101528.0,13.0,998.0,95.0,69.3,100.0
Barrow,US,71.2906,-156.7887,1668101530.0,18.41,1001.0,86.0,23.02,100.0
Narsaq,GL,60.9167,-46.05,1668101531.0,2.77,990.0,97.0,28.62,100.0
solovetskiy,,,,,,,,,
Chapais,CA,49.7834,-74.8492,1668101534.0,4.74,1015.0,99.0,37.18,100.0
Provideniya,RU,64.3833,-173.3,1668101535.0,5.73,1005.0,87.0,21.18,99.0
Kumul,CN,42.8,93.45,1668101537.0,7.99,1031.0,34.0,37.99,81.0
Atuona,PF,-9.8,-139.0333,1668101538.0,13.56,1016.0,80.0,77.45,7.0
Esperance,AU,-33.8667,121.9,1668101539.0,11.88,1006.0,88.0,60.64,82.0
Dikson,RU,73.5069,80.5464,1668101541.0,8.34,1003.0,92.0,0.57,34.0
Chokurdakh,RU,70.6333,147.9167,1668101542.0,8.61,1013.0,99.0,-13.09,99.0
Saint-Philippe,RE,-21.3585,55.7679,1668101543.0,6.78,1019.0,70.0,74.79,90.0
Yulara,AU,-25.2406,130.9889,1668101545.0,7.99,1005.0,36.0,80.47,80.0
Albany,US,42.6001,-73.9662,1668101366.0,3.0,1022.0,53.0,57.47,7.0
Cabo San Lucas,MX,22.8909,-109.9124,1668101209.0,9.22,1017.0,64.0,75.97,75.0
Larsnes,NO,62.2028,5.5773,1668101549.0,17.56,992.0,88.0,53.78,100.0
Chui,UY,-33.6971,-53.4616,1668101550.0,11.14,1016.0,58.0,71.71,56.0
Saint Paul Harbor,US,57.79,-152.4072,1668101551.0,10.36,1009.0,48.0,36.91,0.0
aybak,,,,,,,,,
Matamba,TZ,-8.9833,33.9667,1668101554.0,1.45,1017.0,93.0,56.44,100.0
New Norfolk,AU,-42.7826,147.0587,1668101555.0,2.51,1008.0,68.0,60.91,100.0
Norman Wells,CA,65.282,-126.8329,1668101556.0,3.44,1013.0,85.0,6.84,75.0
Borogontsy,RU,62.6683,131.1683,1668101558.0,7.65,1016.0,97.0,-4.49,100.0
Kochki,RU,54.3358,80.4806,1668101559.0,14.2,1025.0,94.0,28.04,100.0
Ailigandí,PA,9.2333,-78.0167,1668101560.0,7.38,1011.0,82.0,81.52,73.0
Taoudenni,ML,22.6783,-3.9836,1668101562.0,10.18,1012.0,10.0,82.98,0.0
karamea,,,,,,,,,
Hamilton,US,39.1834,-84.5333,1668101372.0,9.22,1020.0,39.0,68.52,75.0
Samarai,PG,-10.6167,150.6667,1668101565.0,7.23,1008.0,75.0,80.26,55.0
Kaitangata,NZ,-46.2817,169.8464,1668101567.0,3.53,1022.0,92.0,46.11,7.0
Springdale,US,36.1867,-94.1288,1668101473.0,13.8,1015.0,58.0,72.64,0.0
Bethel,US,41.3712,-73.414,1668101570.0,16.11,1025.0,60.0,63.05,0.0
Cidreira,BR,-30.1811,-50.2056,1668101571.0,8.57,1015.0,66.0,70.05,6.0
Mosquera,CO,4.7059,-74.2302,1668101572.0,11.5,1027.0,72.0,60.89,75.0
Gusau,NG,12.1628,6.6614,1668101574.0,4.99,1009.0,21.0,82.81,31.0
Bowen,AU,-20.0167,148.2333,1668101575.0,11.59,1013.0,66.0,74.28,47.0
addis zemen,,,,,,,,,
Yairipok,IN,24.6667,94.0667,1668101578.0,2.1,1017.0,92.0,57.83,1.0
Ngemplak,ID,-7.5497,110.7164,1668101579.0,2.95,1010.0,90.0,75.54,99.0
Saskylakh,RU,71.9167,114.0833,1668101581.0,4.74,1008.0,100.0,-26.37,53.0
Port Elizabeth,ZA,-33.918,25.5701,1668101582.0,10.36,1019.0,76.0,63.1,100.0
Genhe,CN,50.7833,121.5167,1668101584.0,1.99,1022.0,96.0,20.89,100.0
Egvekinot,RU,66.3167,-179.1667,1668101585.0,5.95,1005.0,95.0,5.95,100.0
